Line,Field,Expected,Found,Comments
2545,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2546,branch_division_id,varchar,1802.0,Max length is 4
2546,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2547,branch_division_id,varchar,1795.0,Max length is 4
2547,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2548,branch_division_id,varchar,723.0,Max length is 4
2548,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2549,branch_division_id,varchar,1794.0,Max length is 4
2549,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2550,branch_division_id,varchar,1793.0,Max length is 4
2550,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2551,branch_division_id,varchar,1802.0,Max length is 4
2551,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2552,branch_division_id,varchar,7714.0,Max length is 4
2552,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2553,branch_division_id,varchar,7714.0,Max length is 4
2553,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2554,branch_division_id,varchar,7714.0,Max length is 4
2554,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2555,branch_division_id,varchar,1853.0,Max length is 4
2555,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2556,branch_division_id,varchar,1853.0,Max length is 4
2556,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2557,branch_division_id,varchar,1809.0,Max length is 4
2557,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2558,branch_division_id,varchar,723.0,Max length is 4
2558,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2559,branch_division_id,varchar,1802.0,Max length is 4
2559,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2560,branch_division_id,varchar,1802.0,Max length is 4
2560,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2561,branch_division_id,varchar,723.0,Max length is 4
2561,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2562,branch_division_id,varchar,1795.0,Max length is 4
2562,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2563,branch_division_id,varchar,1853.0,Max length is 4
2563,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2564,branch_division_id,varchar,827.0,Max length is 4
2564,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2565,branch_division_id,varchar,1816.0,Max length is 4
2565,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2566,branch_division_id,varchar,710.0,Max length is 4
2566,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2567,branch_division_id,varchar,723.0,Max length is 4
2567,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2568,branch_division_id,varchar,1853.0,Max length is 4
2568,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2569,branch_division_id,varchar,814.0,Max length is 4
2569,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2570,branch_division_id,varchar,1797.0,Max length is 4
2570,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2571,branch_division_id,varchar,723.0,Max length is 4
2571,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2572,branch_division_id,varchar,1851.0,Max length is 4
2572,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2573,branch_division_id,varchar,1851.0,Max length is 4
2573,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2574,branch_division_id,varchar,758.0,Max length is 4
2574,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2575,branch_division_id,varchar,1853.0,Max length is 4
2575,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2576,branch_division_id,varchar,1852.0,Max length is 4
2576,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2577,branch_division_id,varchar,1851.0,Max length is 4
2577,purchase_amount,decimal_EN,22.890.599.999.999.900,Max decimal is 10
2577,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2578,branch_division_id,varchar,1795.0,Max length is 4
